Name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
A Wali,,,,,,,,,1,1,2,2,2,2,2,2,2,2,2,3,5,6,8,12,20,34,39
Aasim Q,,,,,,,,,1,1,3,3,8,8,8,8,9,9,9,9,10,10,16,23,27,27,27
Ahmed R,,,,,,,,,,,,,,,,1,2,2,2,2,2,2,3,4,5,6,7
Ali A Malik,,,,,,,,,1,3,4,6,8,8,8,8,9,10,12,12,14,16,17,19,20,22,24
Arshad A,,,,,,,,,,,,,2,4,6,8,9,10,10,17,19,20,20,24,26,32,33
Asma A,,,,,,,,,,,,,1,1,1,1,1,5,5,5,5,6,7,8,10,16,16
Asman N,,,,,,,,,,,,1,1,1,1,1,1,2,2,3,4,4,6,10,17,26,26
Hajra W,,,,,,,,,,,,,,,,,1,2,3,4,8,9,10,11,12,14,15
Haroon M,,,,,,,,,,,,,,1,2,4,4,4,5,5,6,6,7,8,8,10,11
Ibrahim N,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,3,4,4,4
Irfan Y,,,,,,,,,,,,,1,1,1,2,2,2,2,4,4,10,16,20,21,23,23
Junaid H,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
Kashif Z,,,,,,,,1,1,1,1,3,5,7,12,15,17,17,19,22,26,29,34,38,41,46,47
Maham N,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Mamoona M,,,,,,,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,7,10,11,11
Marwa K,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
Maryam B,,,,,,,,,,,,,,1,1,2,2,2,2,4,4,6,7,10,12,18,18
Mubasher B,,,,,,,1,1,2,2,2,2,2,2,2,2,2,2,4,4,6,6,6,6,8,8,8
Waqar B,,,,,,,,,,,,2,6,6,6,9,10,11,11,11,11,11,12,13,13,13,13
Mubasher H,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
Ishaq R,,,,,,,,,,,,,,1,1,1,2,2,2,2,2,2,2,3,3,4,5
Rana Asif ,,,,,,,,,,,,,,1,1,2,7,10,13,16,19,21,23,24,29,31,32
Saif ul Islam,,,,,,,,,,,,,,,,,,,,,,3,3,4,5,6,6
Saira K,,,,,,,,,,,,,1,4,5,6,6,6,9,9,9,9,9,12,14,16,16
Sana F,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
Sobia T,,,,,,,,,3,3,5,6,6,6,7,7,7,7,9,9,11,11,11,11,11,13,13
Sukhan A,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
Asif G,,,,,,,,,,3,3,3,4,4,4,5,5,5,5,5,5,5,5,6,9,10,10
M. Irteza,,,,,,,,,,,,,,,,2,2,3,4,5,5,6,6,6,6,6,6
Tayyaba B,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
Taimur B,,,,,,,,,,1,3,3,3,3,3,3,4,5,10,11,12,14,20,22,23,24,24
Umar Bin F,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2
Usman A,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2
Zareen A,,,,,,,,,,,,,,2,4,5,5,5,6,6,6,6,8,13,14,16,16
Zeeshan K,,,,,,,,,,2,2,4,6,7,9,11,12,13,15,17,18,19,20,21,22,23,24
Zeeshan R,,,,,,,,,,1,3,3,4,4,4,4,5,5,5,5,5,5,6,6,6,7,7
